id,image,mask,role,source
102_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/102_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/102_A.png,train,fives
102_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/102_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/102_G.png,train,fives
103_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/103_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/103_A.png,train,fives
103_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/103_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/103_G.png,train,fives
104_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/104_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/104_A.png,train,fives
104_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/104_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/104_G.png,train,fives
105_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/105_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/105_A.png,train,fives
105_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/105_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/105_G.png,train,fives
106_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/106_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/106_A.png,train,fives
106_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/106_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/106_G.png,train,fives
107_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/107_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/107_A.png,train,fives
107_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/107_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/107_G.png,train,fives
108_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/108_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/108_A.png,train,fives
108_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/108_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/108_G.png,train,fives
109_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/109_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/109_A.png,train,fives
109_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/109_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/109_G.png,train,fives
10_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/10_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/10_A.png,train,fives
110_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/110_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/110_A.png,train,fives
110_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/110_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/110_G.png,train,fives
111_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/111_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/111_A.png,train,fives
111_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/111_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/111_G.png,train,fives
112_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/112_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/112_A.png,train,fives
112_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/112_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/112_G.png,train,fives
113_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/113_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/113_A.png,train,fives
113_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/113_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/113_G.png,train,fives
114_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/114_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/114_A.png,train,fives
114_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/114_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/114_G.png,train,fives
115_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/115_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/115_A.png,train,fives
115_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/115_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/115_G.png,train,fives
116_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/116_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/116_A.png,train,fives
116_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/116_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/116_G.png,train,fives
117_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/117_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/117_A.png,train,fives
117_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/117_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/117_G.png,train,fives
118_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/118_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/118_A.png,train,fives
118_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/118_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/118_G.png,train,fives
119_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/119_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/119_A.png,train,fives
119_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/119_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/119_G.png,train,fives
11_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/11_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/11_A.png,train,fives
120_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/120_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/120_A.png,train,fives
120_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/120_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/120_G.png,train,fives
121_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/121_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/121_A.png,train,fives
121_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/121_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/121_G.png,train,fives
122_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/122_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/122_A.png,train,fives
122_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/122_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/122_G.png,train,fives
123_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/123_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/123_A.png,train,fives
123_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/123_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/123_G.png,train,fives
124_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/124_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/124_A.png,train,fives
124_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/124_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/124_G.png,train,fives
125_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/125_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/125_A.png,train,fives
125_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/125_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/125_G.png,train,fives
126_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/126_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/126_A.png,train,fives
126_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/126_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/126_G.png,train,fives
127_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/127_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/127_A.png,train,fives
127_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/127_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/127_G.png,train,fives
128_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/128_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/128_A.png,train,fives
128_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/128_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/128_G.png,train,fives
129_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/129_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/129_A.png,train,fives
129_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/129_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/129_G.png,train,fives
12_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/12_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/12_A.png,train,fives
130_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/130_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/130_A.png,train,fives
130_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/130_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/130_G.png,train,fives
131_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/131_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/131_A.png,train,fives
131_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/131_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/131_G.png,train,fives
132_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/132_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/132_A.png,train,fives
132_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/132_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/132_G.png,train,fives
133_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/133_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/133_A.png,train,fives
133_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/133_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/133_G.png,train,fives
134_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/134_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/134_A.png,train,fives
134_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/134_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/134_G.png,train,fives
135_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/135_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/135_A.png,train,fives
135_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/135_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/135_G.png,train,fives
136_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/136_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/136_A.png,train,fives
136_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/136_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/136_G.png,train,fives
137_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/137_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/137_A.png,train,fives
137_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/137_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/137_G.png,train,fives
138_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/138_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/138_A.png,train,fives
138_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/138_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/138_G.png,train,fives
139_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/139_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/139_A.png,train,fives
139_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/139_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/139_G.png,train,fives
13_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/13_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/13_A.png,train,fives
140_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/140_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/140_A.png,train,fives
140_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/140_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/140_G.png,train,fives
141_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/141_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/141_A.png,train,fives
141_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/141_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/141_G.png,train,fives
142_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/142_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/142_A.png,train,fives
142_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/142_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/142_G.png,train,fives
143_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/143_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/143_A.png,train,fives
143_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/143_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/143_G.png,train,fives
144_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/144_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/144_A.png,train,fives
144_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/144_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/144_G.png,train,fives
145_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/145_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/145_A.png,train,fives
145_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/145_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/145_G.png,train,fives
146_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/146_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/146_A.png,train,fives
146_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/146_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/146_G.png,train,fives
147_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/147_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/147_A.png,train,fives
147_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/147_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/147_G.png,train,fives
148_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/148_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/148_A.png,train,fives
148_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/148_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/148_G.png,train,fives
149_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/149_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/149_A.png,train,fives
149_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/149_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/149_G.png,train,fives
14_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/14_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/14_A.png,train,fives
150_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/150_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/150_A.png,train,fives
150_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/150_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/150_G.png,train,fives
151_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/151_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/151_D.png,train,fives
151_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/151_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/151_N.png,train,fives
152_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/152_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/152_D.png,train,fives
152_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/152_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/152_N.png,train,fives
153_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/153_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/153_D.png,train,fives
153_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/153_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/153_N.png,train,fives
154_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/154_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/154_D.png,train,fives
154_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/154_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/154_N.png,train,fives
155_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/155_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/155_D.png,train,fives
155_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/155_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/155_N.png,train,fives
156_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/156_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/156_D.png,train,fives
156_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/156_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/156_N.png,train,fives
157_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/157_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/157_D.png,train,fives
157_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/157_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/157_N.png,train,fives
158_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/158_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/158_D.png,train,fives
158_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/158_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/158_N.png,train,fives
159_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/159_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/159_D.png,train,fives
159_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/159_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/159_N.png,train,fives
15_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/15_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/15_A.png,train,fives
160_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/160_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/160_D.png,train,fives
160_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/160_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/160_N.png,train,fives
161_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/161_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/161_D.png,train,fives
161_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/161_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/161_N.png,train,fives
162_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/162_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/162_D.png,train,fives
162_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/162_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/162_N.png,train,fives
163_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/163_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/163_D.png,train,fives
163_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/163_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/163_N.png,train,fives
164_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/164_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/164_D.png,train,fives
164_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/164_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/164_N.png,train,fives
165_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/165_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/165_D.png,train,fives
165_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/165_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/165_N.png,train,fives
166_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/166_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/166_D.png,train,fives
166_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/166_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/166_N.png,train,fives
167_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/167_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/167_D.png,train,fives
167_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/167_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/167_N.png,train,fives
168_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/168_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/168_D.png,train,fives
168_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/168_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/168_N.png,train,fives
169_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/169_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/169_D.png,train,fives
169_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/169_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/169_N.png,train,fives
16_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/16_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/16_A.png,train,fives
170_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/170_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/170_D.png,train,fives
170_N,/N/u/hungill/Quartz/datasets/fundus/fives/images/170_N.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/170_N.png,train,fives
